code,select_td,buy_td,t0,f1_ma20_slope,f2_close_ma20_dev,f3_mdd_5d,f4_ret_acc,f5_amt_ma20,f6_vol_20d,score,rank,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
159755.SZ,2024-12-05,2024-12-06,2024-12-05,-0.9501244487187068,-1.0254942476579085,0.19258043488444498,-1.1810153179065168,-0.3506791797381388,0.1415318451159351,-0.3751225351371363,3,2024-12-13,0.685,0.677,-0.011678832116788329,-0.011678832116788329,TRADE_OK,2025-12-23
159851.SZ,2024-12-19,2024-12-20,2024-12-19,-0.45590518103723393,-0.35902462910843885,-0.4123360091820653,1.6947693134021324,0.36679563613777577,0.27501664453816943,0.3772437709564963,1,2024-12-27,1.544,1.5050000000000001,-0.025259067357512932,-0.025259067357512932,TRADE_OK,2025-12-23
516100.SH,2024-12-19,2024-12-20,2024-12-19,-0.5893652364448951,-0.44329887424116365,-0.5456633813210328,1.5099446485861987,-0.5976618372565183,0.20967203332622258,0.21136014017517907,2,2024-12-27,1.244,1.221,-0.018488745980707377,-0.018488745980707377,TRADE_OK,2025-12-23
516860.SH,2024-12-19,2024-12-20,2024-12-19,-0.585194609713397,-0.3995144183131066,-0.20213299037801735,1.6531211714445866,-0.430683704991537,0.29235626992338015,0.19537642741266897,3,2024-12-27,1.313,1.2870000000000001,-0.019801980198019598,-0.019801980198019598,TRADE_OK,2025-12-23
510500.SH,2024-12-26,2024-12-27,2024-12-26,0.28229575043637267,-0.2005992044538834,0.910712292724265,0.37549362074749654,3.114313068765043,-1.0326553846894853,0.6470861790143958,1,2025-01-03,5.9670000000000005,5.523000000000001,-0.07440925087983907,-0.07440925087983907,TRADE_OK,2025-12-23
512100.SH,2024-12-26,2024-12-27,2024-12-26,-0.5268058354725348,-0.4703281713894427,0.11565990680689849,0.23503698112401633,3.114313068765043,-0.725778763925929,0.5708602437213237,2,2025-01-03,2.5029999999999997,2.29,-0.08509788254095074,-0.08509788254095074,TRADE_OK,2025-12-23
159851.SZ,2024-12-26,2024-12-27,2024-12-26,-0.6540099507829673,-1.41653254612426,-1.4545290286747306,0.4766195012158305,0.371314224275254,0.09304485432262131,0.4369215517993161,3,2025-01-03,1.483,1.294,-0.12744436952124072,-0.12744436952124072,TRADE_OK,2025-12-23
562500.SH,2024-12-30,2025-01-03,2025-01-02,-1.0120582556813225,-1.41653254612426,-2.0258525813184747,-0.6230896949865743,0.02368561392357961,-0.25817666917936855,0.23160752144827304,1,2025-01-10,0.763,0.761,-0.002621231979030192,-0.002621231979030192,TRADE_OK,2025-12-23
159819.SZ,2024-12-30,2025-01-03,2025-01-02,-0.7415931121442421,-1.41653254612426,-2.0258525813184747,-1.3315742552270493,0.08486001167939848,-0.29943442850772023,0.15936846167021973,2,2025-01-10,0.875,0.852,-0.026285714285714357,-0.026285714285714357,TRADE_OK,2025-12-23
159770.SZ,2024-12-30,2025-01-03,2025-01-02,-1.010598536325295,-1.41653254612426,-2.0258525813184747,-0.7216974315998078,-0.49223597511165584,-0.23662224209416216,0.13155651557876555,3,2025-01-10,0.789,0.788,-0.0012674271229404788,-0.0012674271229404788,TRADE_OK,2025-12-23
